iter	Passed	Remaining
0	147	147481
1	150	75308
2	155	51757
3	158	39452
4	162	32322
5	169	28005
6	171	24381
7	174	21646
8	178	19634
9	180	17889
10	182	16440
11	184	15218
12	187	14224
13	189	13364
14	191	12605
15	194	11942
16	195	11319
17	197	10764
18	199	10289
19	200	9846
20	202	9451
21	204	9092
22	206	8782
23	208	8498
24	211	8256
25	213	8011
26	215	7777
27	217	7552
28	219	7341
29	221	7145
30	222	6954
31	224	6791
32	226	6628
33	227	6469
34	229	6321
35	230	6183
36	232	6056
37	234	5931
38	236	5815
39	237	5700
40	239	5597
41	240	5496
42	242	5395
43	243	5297
44	245	5205
45	246	5117
46	248	5042
47	250	4972
48	252	4904
49	254	4841
50	256	4779
51	258	4712
52	260	4651
53	262	4590
54	263	4535
55	265	4478
56	267	4425
57	269	4369
58	270	4311
59	271	4254
60	272	4199
61	274	4146
62	275	4096
63	276	4047
64	277	3998
65	279	3953
66	281	3920
67	282	3869
68	283	3825
69	284	3783
70	286	3742
71	287	3703
72	288	3664
73	289	3627
74	291	3590
75	292	3555
76	293	3519
77	295	3492
78	297	3462
79	298	3435
80	300	3405
81	301	3374
82	302	3343
83	304	3316
84	305	3283
85	306	3254
86	307	3222
87	308	3195
88	310	3174
89	311	3153
90	313	3128
91	314	3104
92	315	3079
93	316	3055
94	318	3031
95	319	3007
96	320	2984
97	321	2962
98	323	2940
99	325	2926
100	326	2908
101	327	2883
102	328	2863
103	330	2843
104	331	2824
105	332	2804
106	333	2785
107	334	2766
108	336	2747
109	337	2728
110	338	2713
111	340	2701
112	342	2684
113	343	2667
114	344	2650
115	345	2631
116	346	2615
117	347	2599
118	348	2581
119	349	2565
120	350	2549
121	352	2534
122	352	2515
123	354	2503
124	356	2493
125	357	2482
126	359	2468
127	359	2451
128	361	2437
129	362	2424
130	363	2411
131	364	2398
132	365	2385
133	367	2372
134	368	2361
135	370	2352
136	371	2341
137	372	2328
138	373	2315
139	374	2303
140	376	2291
141	377	2280
142	378	2268
143	379	2258
144	381	2247
145	382	2235
146	383	2225
147	385	2217
148	386	2208
149	387	2198
150	389	2187
151	390	2177
152	391	2166
153	392	2156
154	393	2146
155	395	2138
156	396	2130
157	398	2124
158	401	2123
159	403	2115
160	404	2107
161	405	2098
162	406	2089
163	408	2080
164	409	2072
165	410	2064
166	412	2056
167	413	2049
168	416	2046
169	417	2038
170	418	2030
171	420	2022
172	421	2013
173	422	2005
174	423	1998
175	425	1990
176	426	1983
177	428	1977
178	430	1974
179	431	1967
180	432	1956
181	433	1949
182	435	1942
183	436	1934
184	437	1928
185	438	1920
186	440	1913
187	441	1907
188	443	1904
189	445	1898
190	447	1894
191	448	1887
192	449	1881
193	451	1875
194	452	1869
195	454	1862
196	455	1855
197	456	1849
198	458	1844
199	460	1841
200	461	1835
201	463	1829
202	464	1823
203	465	1817
204	466	1810
205	468	1804
206	469	1799
207	471	1793
208	473	1790
209	475	1786
210	476	1781
211	477	1775
212	478	1769
213	480	1763
214	481	1758
215	482	1752
216	484	1746
217	485	1741
218	487	1738
219	490	1737
220	492	1736
221	494	1732
222	496	1728
223	497	1724
224	499	1721
225	502	1719
226	505	1720
227	506	1716
228	508	1711
229	509	1707
230	511	1702
231	512	1698
232	514	1693
233	517	1694
234	520	1692
235	521	1689
236	523	1684
237	524	1680
238	526	1675
239	527	1670
240	529	1666
241	531	1663
242	533	1661
243	535	1660
244	537	1657
245	539	1654
246	541	1650
247	542	1646
248	544	1642
249	547	1641
250	548	1637
251	549	1632
252	551	1627
253	552	1623
254	554	1618
255	555	1614
256	556	1610
257	558	1605
258	560	1602
259	561	1598
260	563	1594
261	564	1589
262	565	1585
263	567	1581
264	568	1576
265	569	1572
266	571	1567
267	572	1563
268	574	1560
269	575	1555
270	576	1551
271	578	1547
272	579	1543
273	580	1539
274	582	1535
275	583	1530
276	585	1527
277	586	1523
278	588	1520
279	589	1516
280	591	1512
281	592	1508
282	593	1504
283	595	1500
284	597	1497
285	598	1495
286	600	1492
287	602	1489
288	604	1486
289	605	1482
290	606	1478
291	608	1474
292	609	1471
293	611	1467
294	612	1463
295	613	1459
296	614	1455
297	615	1451
298	617	1447
299	618	1443
300	620	1441
301	622	1438
302	623	1434
303	624	1430
304	626	1426
305	627	1422
306	628	1419
307	630	1416
308	631	1412
309	633	1409
310	635	1408
311	637	1405
312	638	1401
313	639	1397
314	640	1393
315	641	1389
316	643	1385
317	649	1392
318	651	1390
319	652	1386
320	653	1383
321	655	1379
322	656	1375
323	657	1371
324	658	1367
325	659	1363
326	660	1359
327	661	1356
328	663	1354
329	665	1351
330	667	1348
331	668	1345
332	669	1341
333	671	1338
334	672	1334
335	674	1332
336	675	1329
337	677	1326
338	679	1325
339	683	1325
340	685	1324
341	686	1321
342	688	1318
343	689	1315
344	691	1312
345	693	1310
346	695	1307
347	696	1304
348	697	1301
349	698	1298
350	700	1294
351	701	1292
352	703	1288
353	704	1285
354	705	1282
355	707	1280
356	709	1277
357	710	1274
358	711	1270
359	712	1267
360	714	1264
361	715	1260
362	716	1257
363	717	1253
364	718	1250
365	720	1247
366	721	1244
367	723	1241
368	724	1238
369	725	1235
370	727	1232
371	728	1229
372	729	1225
373	730	1222
374	731	1219
375	732	1215
376	733	1212
377	735	1209
378	738	1209
379	739	1206
380	740	1202
381	741	1199
382	742	1196
383	743	1193
384	745	1190
385	746	1187
386	747	1184
387	748	1181
388	750	1178
389	751	1175
390	752	1172
391	753	1169
392	754	1166
393	756	1162
394	757	1159
395	758	1156
396	759	1154
397	761	1151
398	762	1148
399	763	1145
400	766	1144
401	767	1141
402	768	1138
403	769	1135
404	771	1132
405	772	1129
406	773	1127
407	775	1124
408	776	1121
409	777	1118
410	778	1115
411	779	1113
412	781	1110
413	782	1107
414	783	1104
415	784	1101
416	785	1098
417	787	1096
418	788	1093
419	789	1090
420	790	1087
421	792	1084
422	793	1082
423	794	1079
424	795	1076
425	796	1073
426	797	1070
427	799	1067
428	800	1065
429	801	1062
430	802	1059
431	803	1056
432	804	1054
433	806	1051
434	807	1048
435	808	1045
436	809	1043
437	810	1040
438	811	1037
439	813	1035
440	814	1032
441	815	1029
442	816	1026
443	817	1024
444	819	1021
445	820	1019
446	821	1016
447	822	1013
448	823	1011
449	825	1008
450	826	1005
451	827	1003
452	828	1000
453	830	998
454	831	995
455	832	993
456	833	990
457	834	987
458	835	985
459	837	982
460	838	980
461	839	977
462	840	975
463	841	972
464	843	970
465	844	967
466	845	965
467	847	963
468	848	960
469	849	958
470	851	955
471	852	953
472	853	951
473	854	948
474	856	946
475	857	943
476	858	941
477	860	939
478	861	937
479	863	935
480	864	933
481	866	930
482	867	928
483	868	926
484	869	923
485	870	921
486	872	919
487	873	916
488	874	914
489	876	911
490	877	909
491	878	907
492	879	904
493	880	902
494	882	899
495	883	897
496	884	895
497	885	892
498	886	890
499	887	887
500	889	885
501	890	883
502	891	880
503	892	878
504	893	876
505	895	873
506	896	871
507	897	869
508	898	866
509	899	864
510	900	862
511	902	859
512	903	857
513	904	855
514	905	853
515	907	850
516	908	848
517	909	846
518	910	844
519	912	841
520	913	839
521	914	837
522	915	835
523	916	832
524	918	830
525	919	828
526	920	826
527	921	823
528	922	821
529	924	819
530	925	817
531	926	814
532	927	812
533	928	810
534	930	808
535	931	806
536	932	804
537	933	801
538	934	799
539	936	797
540	937	795
541	938	792
542	939	790
543	940	788
544	941	786
545	943	784
546	944	782
547	945	780
548	947	777
549	948	775
550	949	773
551	950	771
552	952	769
553	953	767
554	954	765
555	955	763
556	956	760
557	957	758
558	959	756
559	960	754
560	961	752
561	962	750
562	964	748
563	965	746
564	966	744
565	967	742
566	968	739
567	970	737
568	971	735
569	972	733
570	973	731
571	974	729
572	976	727
573	977	725
574	978	723
575	979	721
576	980	719
577	982	717
578	983	714
579	984	712
580	985	710
581	987	708
582	988	706
583	989	704
584	990	702
585	992	701
586	993	699
587	994	697
588	996	695
589	997	693
590	998	691
591	1000	689
592	1001	687
593	1002	685
594	1004	683
595	1005	681
596	1006	679
597	1008	677
598	1009	675
599	1010	673
600	1011	671
601	1012	669
602	1014	667
603	1015	665
604	1016	663
605	1017	661
606	1019	659
607	1020	657
608	1021	655
609	1022	653
610	1024	651
611	1025	650
612	1026	648
613	1027	646
614	1029	644
615	1030	642
616	1032	640
617	1033	638
618	1034	636
619	1035	634
620	1037	632
621	1038	631
622	1039	629
623	1040	627
624	1041	625
625	1043	623
626	1044	621
627	1046	619
628	1047	617
629	1048	615
630	1050	614
631	1051	612
632	1053	610
633	1054	609
634	1056	607
635	1058	605
636	1060	604
637	1061	602
638	1063	600
639	1064	599
640	1066	597
641	1069	596
642	1072	595
643	1074	593
644	1075	591
645	1077	590
646	1078	588
647	1080	586
648	1081	585
649	1083	583
650	1085	582
651	1087	580
652	1088	578
653	1089	576
654	1091	574
655	1092	572
656	1093	571
657	1095	569
658	1096	567
659	1098	565
660	1100	564
661	1101	562
662	1102	560
663	1104	558
664	1106	557
665	1107	555
666	1109	553
667	1110	551
668	1112	550
669	1115	549
670	1116	547
671	1118	545
672	1119	544
673	1121	542
674	1122	540
675	1124	538
676	1127	537
677	1130	537
678	1132	535
679	1133	533
680	1135	531
681	1136	529
682	1137	528
683	1139	526
684	1140	524
685	1142	522
686	1143	521
687	1145	519
688	1146	517
689	1147	515
690	1149	513
691	1150	512
692	1152	510
693	1153	508
694	1155	506
695	1156	505
696	1158	503
697	1160	502
698	1162	500
699	1163	498
700	1164	496
701	1166	495
702	1167	493
703	1169	491
704	1171	490
705	1173	488
706	1174	486
707	1176	485
708	1177	483
709	1178	481
710	1179	479
711	1181	477
712	1182	475
713	1183	474
714	1184	472
715	1186	470
716	1188	469
717	1190	467
718	1191	465
719	1192	463
720	1194	462
721	1195	460
722	1196	458
723	1197	456
724	1198	454
725	1200	452
726	1201	451
727	1203	449
728	1204	447
729	1206	446
730	1207	444
731	1208	442
732	1209	440
733	1210	438
734	1212	437
735	1213	435
736	1214	433
737	1216	431
738	1217	430
739	1219	428
740	1221	426
741	1222	425
742	1224	423
743	1225	421
744	1226	419
745	1228	418
746	1229	416
747	1230	414
748	1232	413
749	1234	411
750	1235	409
751	1236	407
752	1237	405
753	1238	404
754	1239	402
755	1241	400
756	1242	398
757	1243	397
758	1244	395
759	1246	393
760	1248	392
761	1249	390
762	1250	388
763	1252	386
764	1253	384
765	1254	383
766	1255	381
767	1256	379
768	1257	377
769	1259	376
770	1260	374
771	1262	372
772	1263	371
773	1265	369
774	1266	367
775	1267	365
776	1268	364
777	1269	362
778	1271	360
779	1272	358
780	1273	357
781	1274	355
782	1277	353
783	1278	352
784	1280	350
785	1281	348
786	1283	347
787	1284	345
788	1285	343
789	1286	342
790	1288	340
791	1289	338
792	1290	336
793	1291	335
794	1293	333
795	1294	331
796	1296	330
797	1297	328
798	1299	326
799	1300	325
800	1301	323
801	1302	321
802	1304	319
803	1305	318
804	1307	316
805	1308	314
806	1309	313
807	1310	311
808	1312	309
809	1313	308
810	1314	306
811	1315	304
812	1316	302
813	1317	301
814	1319	299
815	1320	297
816	1322	296
817	1323	294
818	1324	292
819	1325	291
820	1326	289
821	1328	287
822	1329	285
823	1330	284
824	1331	282
825	1332	280
826	1333	279
827	1335	277
828	1337	275
829	1338	274
830	1339	272
831	1341	270
832	1342	269
833	1343	267
834	1344	265
835	1345	264
836	1347	262
837	1348	260
838	1349	258
839	1351	257
840	1352	255
841	1354	254
842	1355	252
843	1356	250
844	1358	249
845	1359	247
846	1360	245
847	1361	244
848	1363	242
849	1364	240
850	1365	239
851	1367	237
852	1368	235
853	1370	234
854	1371	232
855	1372	230
856	1373	229
857	1374	227
858	1376	225
859	1377	224
860	1378	222
861	1379	220
862	1381	219
863	1383	217
864	1384	216
865	1385	214
866	1386	212
867	1388	211
868	1389	209
869	1390	207
870	1391	206
871	1393	204
872	1394	202
873	1396	201
874	1397	199
875	1399	198
876	1400	196
877	1401	194
878	1402	193
879	1403	191
880	1405	189
881	1406	188
882	1407	186
883	1408	184
884	1410	183
885	1411	181
886	1413	180
887	1414	178
888	1416	176
889	1417	175
890	1418	173
891	1419	171
892	1420	170
893	1422	168
894	1423	166
895	1424	165
896	1426	163
897	1428	162
898	1429	160
899	1431	159
900	1432	157
901	1433	155
902	1434	154
903	1435	152
904	1437	150
905	1438	149
906	1439	147
907	1440	146
908	1442	144
909	1443	142
910	1445	141
911	1446	139
912	1447	137
913	1448	136
914	1449	134
915	1450	133
916	1452	131
917	1453	129
918	1454	128
919	1456	126
920	1457	125
921	1459	123
922	1460	121
923	1461	120
924	1462	118
925	1464	116
926	1465	115
927	1466	113
928	1467	112
929	1468	110
930	1470	109
931	1472	107
932	1474	105
933	1475	104
934	1476	102
935	1477	101
936	1479	99
937	1480	97
938	1481	96
939	1483	94
940	1484	93
941	1486	91
942	1487	89
943	1489	88
944	1490	86
945	1491	85
946	1492	83
947	1493	81
948	1495	80
949	1496	78
950	1497	77
951	1498	75
952	1500	74
953	1502	72
954	1503	70
955	1505	69
956	1506	67
957	1507	66
958	1509	64
959	1510	62
960	1511	61
961	1512	59
962	1513	58
963	1515	56
964	1517	55
965	1518	53
966	1519	51
967	1521	50
968	1522	48
969	1523	47
970	1524	45
971	1525	43
972	1526	42
973	1528	40
974	1529	39
975	1531	37
976	1533	36
977	1534	34
978	1535	32
979	1536	31
980	1537	29
981	1539	28
982	1540	26
983	1541	25
984	1542	23
985	1543	21
986	1545	20
987	1547	18
988	1548	17
989	1549	15
990	1551	14
991	1552	12
992	1553	10
993	1554	9
994	1556	7
995	1557	6
996	1558	4
997	1560	3
998	1562	1
999	1563	0
